"Date","Site","Temp_C","Log_SpCond_mScm","Log_Cond_mScm","Log_TDS_mgl","Log_Sal_ppt","DO_percent","DO_mgL","pH","Month","Year","Season","Log_Unfiltered_TN_ugL","Log_Filtered_NOx_ugL","Log_Filtered_NHx_ugL","Log_Unfiltered_TP_ugL","Filtered_OP_ugL","Log_TSS_mgL","fecal_coliform_colonies_per100mL"
"2016-07-11","AN3",23.6,0.142367241286922,0.137149838147234,0.0942186752389817,0.0676586484738149,35.8,3.05,7.18,7,2016,"Summer",6.65586925880227,2.92673940206704,2.33537491581704,4.51451581771996,4.33333333333333,2.99573227355399,190
"2016-07-11","AN0",22.7,0.238229188732251,0.223943231484774,0.165344932586838,0.122217632724249,22.2,0.197,7.23,7,2016,"Summer",6.49978704065585,5.50397560352123,3.20545280453606,4.05467930582967,10.6666666666667,1.94591014905531,233.333333333333
"2016-07-11","P3D",22.2,0.348541960708543,0.332894415273329,0.239803992207317,0.182321556793955,73.1,6.38,7.72,7,2016,"Summer",7.80098207125774,5.53075096476934,3.99513791213865,3.3322045101752,18.3333333333333,2.12026353620009,195
"2016-07-11","CP3",26.5,0.129272335704139,0.132781111233818,0.0859024290007035,0.0582689081239758,78.3,6.29,7.41,7,2016,"Summer",5.84161018045153,6.39804014950017,4.18459144006988,3.61091791264422,6,2.79320800944251,203.333333333333
"2016-07-11","CP1",22.6,0.168898536461814,0.161268147596122,0.112435429329788,0.0861776962410524,71.2,6.15,7.47,7,2016,"Summer",6.91506185416457,4.62823545891908,4.79303192315766,4.07187170637004,55.3333333333333,2.19722457733622,166.666666666667
"2016-07-11","CP2",22.3,0.288931291852213,0.276115436080316,0.197538522598815,0.148420005118273,15.8,1.34,6.83,7,2016,"Summer",5.8925645984531,1.6094379124341,3.59273559356103,2.30258509299405,4.66666666666667,3.20545280453606,146.666666666667
"2016-08-16","WT5",29.2,0.275356422761144,0.29416103854949,0.18739201360706,0.139761942375159,46.6,3.6,7.47,8,2016,"Summer",6.15131324804988,5.08347261804852,3.8430301339412,3.41224721784874,6,1.54044504094715,210
"2016-08-16","WT3",25.3,0.165514438477573,0.166361537215225,0.11010922268003,0.0769610411361284,5,0.38,6.88,8,2016,"Summer",6.30809844150953,4.54329478227,5.06680556556331,3.71357206670431,2.66666666666667,2.12026353620009,280
"2016-08-16","AN5",25.3,0.19062035960865,0.191446464570955,0.127953364310461,0.0953101798043249,12.2,0.97,7.12,8,2016,"Summer",6.79234442747081,4.44265125649032,5.58974242527865,4.20469261939097,6,3.0122615755052,75
"2016-08-16","WT4",25.7,0.347129531095201,0.351360849114964,0.238859407754213,0.182321556793955,45,3.5,7.31,8,2016,"Summer",6.9037472575846,6.40962648601055,4.60183128472258,3.898599985096,11.6666666666667,1.20397280432594,156.666666666667
